lake_id,month_start,month_end,ndwi,ndvi,ndti,pollution_score,pixel_count,scene_count,anomaly_flag,mom_change_pct,restoration_verdict,restoration_confidence
ulsoor,2025-02-01,2025-03-01,0.31476271296980957,0.016302888682384623,-0.556492055436863,33.57,3397,5,False,-12.4,,
ulsoor,2025-03-01,2025-04-01,0.4495488264277694,-0.2006501160418378,-0.5693797069182301,28.24,3293,5,False,-15.88,,
ulsoor,2025-04-01,2025-05-01,0.45577521950906813,-0.19923422226773338,-0.3988389087711413,31.56,3284,6,False,11.76,,
ulsoor,2025-05-01,2025-06-01,0.27172781354271996,0.012013726017265894,-0.2801495017499376,39.79,3255,2,True,26.08,,
ulsoor,2025-06-01,2025-07-01,0.05727422400397392,0.006501368141508397,-0.058083253703967073,47.92,2857,1,True,20.43,,
ulsoor,2025-07-01,2025-08-01,0.0,0.0,0.0,50.0,0,0,False,4.34,,
ulsoor,2025-08-01,2025-09-01,0.0,0.0,0.0,50.0,0,0,False,0.0,,
ulsoor,2025-09-01,2025-10-01,0.0,0.0,0.0,50.0,0,0,False,0.0,,
ulsoor,2025-10-01,2025-11-01,0.0,0.0,0.0,50.0,0,0,False,0.0,,
ulsoor,2025-11-01,2025-12-01,0.25893061900601316,-0.015370399133771336,-0.41275688133503236,37.02,3363,1,False,-25.96,,
ulsoor,2025-12-01,2026-01-01,0.4569943801180414,-0.07600499582898157,-0.5322742188430002,30.41,3190,3,False,-17.86,,
ulsoor,2026-01-01,2026-02-01,0.36630191357638814,-0.02723607397926059,-0.4962738614212426,33.32,3164,4,False,9.57,,
ulsoor,2026-02-01,2026-03-01,0.07484048155887082,0.2819752590187739,-0.5449142032940283,41.32,2020,4,True,24.01,,
ulsoor,2026-03-01,2026-04-01,0.03444108761329305,-0.04597014925373134,0.40286298568507156,56.88,1,7,True,37.66,,
ulsoor,2026-04-01,2026-05-01,0.0,0.0,0.0,50.0,0,6,False,-12.1,,
ulsoor,2026-05-01,2026-06-01,0.17354232854801538,-0.017054843034950237,-0.18829806770340607,42.98,1811,1,False,-14.04,,
ulsoor,2026-06-01,2026-06-20,0.0,0.0,0.0,50.0,0,0,False,16.33,,
sankey,2024-01-01,2024-02-01,0.21410288425729038,-0.07792010110411285,-0.15649069160854667,42.15,1107,2,False,,,
sankey,2024-02-01,2024-03-01,0.37998877219089205,-0.19082272686972382,-0.03457132097311809,40.27,1121,5,False,-4.46,,
sankey,2024-03-01,2024-04-01,0.38913830454755666,-0.23631007026290127,-0.14161982213113142,37.4,1142,6,False,-7.13,,
sankey,2024-04-01,2024-05-01,0.554641585513244,-0.3845858699229725,-0.07460055610767635,33.99,1120,4,False,-9.12,,
sankey,2024-05-01,2024-06-01,0.20747341081081755,-0.07604117301509128,0.01372451067302073,45.69,1080,1,True,34.42,,
